,_id,winner,match_mean_elo,5v5_free_queue,5v5_premium_queue,dif_mean_elo,dif_stddev_elo,dif_num_paid_memberships,dif_num_solo_players,dif_num_parties,dif_mean_matches,dif_mean_winrate,dif_mean_kd,dif_mean_multikills_score,dif_mean_rating,dif_mean_matches_on_map,dif_mean_winrate_on_map,dif_mean_kd_on_map,dif_mean_multikills_score_on_map,dif_mean_rating_on_map,dif_mean_matches_map_preference,dif_mean_winrate_map_preference,dif_mean_kd_map_preference,dif_mean_multikills_score_map_preference,dif_mean_rating_map_preference,dif_mean_created_at_faceit,dif_stddev_created_at_faceit,dif_min_created_at_faceit,dif_mean_matches_on_map_prev,dif_mean_winrate_prev,dif_mean_kd_prev,dif_mean_weighted_kd_by_elo_prev,dif_multikills_score_prev,dif_mean_rating_prev,dif_mean_interval_time_prev,dif_mean_interval_time_oldest_prev,dif_mean_interval_time_most_recent_prev,dif_max_interval_time_most_recent_prev,dif_mean_delta_elo_prev,dif_mean_dif_rounds_prev,dif_mean_dif_elo_prev,dif_mean_matches_afk,dif_num_played_togthr_prev,dif_winrate_togthr_prev,dif_mean_first_matches_on_day,dif_mean_matches_on_day,dif_mean_played_map_on_day,entity_dummies_hub,entity_dummies_matchmaking
1251,1-04ae879f-9595-4b9c-8cc3-20e912de10d6,0,2741.3999999999996,0,1,350.4000000000001,203.71479571365762,0,0,0,-342.0,0.031922227953898374,0.04091215319403507,-0.006769886142855341,0.01885381884362647,33.60000000000002,0.08570912013392407,0.10282445153986419,0.08588875586429079,0.10317831921818743,0.028548877324500982,0.10751844000577226,0.05897862415965871,0.14170567065956563,0.07549612853603804,-2432289.599999994,11123844.341236338,-3534655,0.19999999999999996,0.15999999999999998,0.31239022229197877,1288.7080494638708,0.24091606083611272,0.28074863328946065,-16370.800000000017,9248.200000000012,-17356.2,-49753,25.060000000000002,0.16000000000000014,285.924,0.0,0.12,0.47692307692307695,-2,3.5999999999999996,1.2,0,1
1252,1-04ae9318-bc74-4d00-bf8e-330ecdba68e3,1,2229.0,0,1,-13.199999999999818,155.81011512935612,0,-2,-1,-29.799999999999955,0.022233247780977794,0.0008746339445580009,0.029944642039904212,0.009778486478764004,26.0,-0.011659875734755798,0.003718631613518486,0.026381940829032002,0.010955013316713114,0.022819490853343116,-0.0655901381031877,0.007221463655719074,0.005136333040334673,0.0055616866529926146,-8017877.200000003,15085956.51778669,-16310853,0.5999999999999996,0.08000000000000007,0.07466912941557569,148.06505521588133,-0.05756933306475598,-0.024873394396699,31877.24000000002,65206.40000000002,4576.6,23048,6.639999999999997,-0.54,-109.34400000000004,0.0,-0.07999999999999996,0.65,1,-1.0,0.0,0,1
1253,1-04aeb2f3-9901-41ca-a4e7-c4373d10c3c7,0,2172.3,0,1,9.400000000000091,243.66837041550474,0,-1,-1,-316.0,0.013274582522638245,-0.02609233662300725,0.07188612916034876,0.05690649807527359,-10.199999999999989,0.07346677145614211,0.010074242198701677,0.08910610715283429,0.07171875301077435,0.049464287481425256,0.11289590364654789,0.03416143105900016,0.033862021175062096,0.01404445201869775,-4716958.400000006,40937400.33664164,-65518142,2.2,-0.09999999999999987,-0.07824159526755325,-124.84416416346994,-0.004024038589417744,-0.023796542867424053,121437.71999999997,123159.40000000002,142810.4,176345,-44.8,-1.24,110.30399999999997,0.0,0.48000000000000004,-0.35714285714285715,3,-0.3999999999999999,-0.2,0,1
1254,1-04af3a6f-e2e4-4910-9760-b85980476a86,0,2755.7,1,0,111.0,-129.6200525180998,2,-2,-2,-2107.2,-0.02045914514603775,0.058645728439804756,0.07570966375621979,0.06895244817987622,23.6,0.15159966177613232,0.16513444415088863,0.12328447238186158,0.18021438539895807,0.01854413383816898,0.30532500203894763,0.10383178833748907,0.0822644025651873,0.10369594602551646,-23286526.600000024,4680838.74246113,-30076560,2.2,0.09999999999999987,0.5970633915080115,1820.6640802736747,0.16669392246704268,0.23857950735304956,-104660.30000000002,-98934.40000000002,-52088.6,-159040,47.5,2.5,36.32800000000016,0.0,0.48,0.6652806652806653,-3,2.2,1.0,0,1
1255,1-04b15cb4-8b91-48ef-8951-963a39a7607b,1,2636.0,1,0,-19.600000000000364,-51.61330687613099,0,1,1,-293.79999999999995,-0.0033317212188291867,0.034063138641973634,0.048525750749899954,0.03927610622455702,-8.800000000000011,0.09566082082229022,0.09074022791673819,0.038546883477316385,0.06423336575969407,0.039948953470289816,0.18589615782558355,0.04579964932047553,-0.021888936296835748,0.017744527025205237,358710.60000000894,-16106289.232177481,12080418,1.4,0.020000000000000018,-0.2090952021758381,-500.9915438243852,-0.3238366617244404,-0.29707642719944727,115300.46,280617.8,-2693.0,-13573,4.520000000000007,-0.76,-179.47199999999998,0.0,-0.32,0.2424242424242424,0,-2.0,0.6,0,1
1256,1-04b20cae-76e9-4ab0-a8a0-12e8af4ea66a,0,1464.1,1,0,-1.7999999999999545,23.892175441698882,-1,0,0,-190.39999999999998,0.01001137184469103,0.10146140520599678,0.13536665839191764,0.127568194264428,21.00000000000003,0.07752265497993,0.12884607970392825,0.16663710134877613,0.15920160056161703,0.027383303974987228,0.12747685096138384,0.02823059357572011,0.07245685749451003,0.034340371325739194,43451014.6,-3310891.308355652,47207509,1.7999999999999998,0.05999999999999994,0.1868804557019037,269.42898450880944,0.229447710869146,0.20206556764035366,23442.879999999976,35477.59999999998,-64449.600000000006,-257978,10.899999999999999,0.3599999999999999,170.08800000000008,0.0,0.19999999999999998,-0.3888888888888889,-1,1.0000000000000002,1.0,0,1
1257,1-04b40cec-5547-4f3a-837a-553727a788c2,1,1978.9,1,0,28.600000000000136,312.6393570215307,3,-1,-1,565.6000000000001,-0.007174198056212777,0.02554922688617478,0.013635130599151002,0.03643639231131379,-19.400000000000006,-0.018570446415721364,-0.06418297245557958,-0.061627228910691834,-0.04115126937932034,-0.06658099725703905,-0.01980085637298168,-0.07762672368049794,-0.11504439942752753,-0.06725764095804132,26392188.200000003,14555942.556576408,-17699287,-0.40000000000000013,0.12,0.14682082418810116,315.6549508387284,-0.01965815249397118,0.11051109021320071,-183723.4,-275304.8,-29020.199999999997,-113037,5.960000000000002,-1.2199999999999998,166.076,0.0,0.36,-0.09090909090909091,-2,1.7999999999999998,0.19999999999999996,0,1
1258,1-04b5ef3a-1bc6-4a7d-b410-007c206fd31c,1,1997.0,1,0,-34.80000000000018,-89.53556091805547,4,0,0,138.0,0.008199531588580666,0.10855642396797327,0.13835703360561702,0.11912576303692868,54.400000000000034,0.05213931064204713,0.11211331081552667,0.15369024725227126,0.13747886442563972,0.007089794274194261,0.08786639449354428,0.004754976850790293,0.032678867668531564,0.023234522052380635,10307949.599999994,-19323658.249386355,58928872,-1.2,0.56,0.2581186189775495,458.77393168234676,0.14856281575168973,0.20810685720849986,-99819.86000000002,-96755.79999999999,205.0,205,163.22,-0.3,89.9720000000001,0.0,0.020000000000000018,1.2334494773519165,0,1.4000000000000004,0.0,0,1
1259,1-04b69553-a867-4de3-9785-2e355ac3f59e,0,2003.5,0,1,-23.800000000000182,124.52423196004536,0,-2,-1,-427.60000000000014,0.00864347332057036,-0.034686406933391645,0.06426864095343665,0.020462583812700164,-122.19999999999999,-0.018206285899817654,-0.06278199568842635,0.040623007450831805,-0.009348096725065869,0.01793404248986763,-0.051729822789053026,-0.02729547894179596,-0.03812285935446924,-0.027869164187341533,-18898526.0,8766530.554691784,-7582219,1.5999999999999996,-0.21999999999999997,-0.1429248524921387,-341.88579115520133,0.11188318300605582,0.028931457549628448,30663.640000000014,57239.399999999994,25952.8,97316,-69.07999999999998,-0.9200000000000002,19.21200000000001,0.0,0.12,-0.3333333333333333,1,-0.6000000000000001,0.19999999999999996,0,1
1260,1-04b6d6e8-c728-40d3-a753-233822e35fb3,0,1498.0,0,1,11.199999999999818,-30.991832411254208,0,0,0,103.79999999999995,0.009370051854805661,-0.0767970407363201,-0.12397089989561183,-0.11340314553443798,65.59999999999997,0.04891642500868709,-0.045195297416772195,-0.10767908134322668,-0.09047973539124388,0.012875114752506467,0.07665233196181942,0.032140774765038294,0.030181097433340298,0.021940765187070888,36097243.80000001,-31340416.82265734,79135789,0.6000000000000001,0.040000000000000036,0.02476690844508056,35.168289542192724,0.02635265023949218,0.014431144048635547,-48798.0,50336.59999999998,17826.199999999997,47419,-7.3,1.9200000000000004,2.292000000000007,0.0,0.0,0.5454545454545454,1,0.8,1.0,0,1
